Organ,25g,30g,35g
Adrenals,0.0102,0.0102,0.0102
Blood,2.4,2.4,2.4
Fat,6.5,7.8,9.1
Gallbladder,0.011,0.011,0.011
Muscle,,,
Ovaries,0.0165,0.0165,0.0165
Salivary Glands,0.1875,0.1875,0.1875
Seminals,0.17304533,0.173045,0.173045
Skin,2.01,2.01,2.01
Thymus,0.051,0.051,0.051
Trachea,0.009,0.009,0.009
Uterus,0.172,0.172,0.172
Prostate,0.025,,
Red Marrow, 0.608,,
